VaccinationDate,age_group,first_dose,second_dose,third_dose,fourth_dose
2020-12-20,40-49,1869,0,0,0
2020-12-20,30-39,1200,0,0,0
2020-12-20,80-89,93,0,0,0
2020-12-20,70-79,497,0,0,0
2020-12-20,90+,<15,0,0,0
2020-12-20,50-59,1790,0,0,0
2020-12-20,60-69,1517,0,0,0
2020-12-20,0-19,21,0,0,0
2020-12-20,20-29,392,0,0,0
2020-12-21,0-19,68,0,0,0
2020-12-21,20-29,1068,0,0,0
2020-12-21,40-49,3790,0,0,0
2020-12-21,50-59,3693,0,0,0
2020-12-21,90+,167,0,0,0
2020-12-21,80-89,1165,0,0,0
2020-12-21,70-79,4888,0,0,0
2020-12-21,30-39,2787,0,0,0
2020-12-21,60-69,7286,0,0,0
2020-12-22,90+,456,0,0,0
2020-12-22,60-69,14436,0,0,0
2020-12-22,0-19,99,0,0,0
2020-12-22,30-39,3605,0,0,0
2020-12-22,20-29,1577,0,0,0
2020-12-22,70-79,11762,0,0,0
2020-12-22,50-59,4664,0,0,0
2020-12-22,40-49,4542,0,0,0
2020-12-22,80-89,3498,0,0,0
2020-12-23,30-39,3872,0,0,0
2020-12-23,20-29,2128,0,0,0
2020-12-23,0-19,161,0,0,0
2020-12-23,80-89,5679,0,0,0
2020-12-23,70-79,18015,0,0,0
2020-12-23,90+,1026,0,0,0
2020-12-23,50-59,5340,0,0,0
2020-12-23,40-49,5042,0,0,0
2020-12-23,60-69,21619,0,0,0
2020-12-24,50-59,5669,0,0,0
2020-12-24,70-79,21764,0,0,0
2020-12-24,60-69,25649,0,0,0
2020-12-24,90+,1348,0,0,0
2020-12-24,0-19,202,0,0,0
2020-12-24,20-29,2075,0,0,0
2020-12-24,80-89,7678,0,0,0
2020-12-24,30-39,3802,0,0,0
2020-12-24,40-49,5222,0,0,0
2020-12-25,60-69,13410,0,0,0
2020-12-25,0-19,126,0,0,0
2020-12-25,30-39,1397,0,0,0
2020-12-25,40-49,2255,0,0,0
2020-12-25,20-29,756,0,0,0
2020-12-25,80-89,4531,0,0,0
2020-12-25,70-79,12285,0,0,0
2020-12-25,90+,764,0,0,0
2020-12-25,50-59,2971,0,0,0
2020-12-26,50-59,2406,0,0,0
2020-12-26,20-29,486,0,0,0
2020-12-26,30-39,980,0,0,0
2020-12-26,70-79,10605,0,0,0
2020-12-26,60-69,11903,0,0,0
2020-12-26,90+,690,0,0,0
2020-12-26,40-49,1692,0,0,0
2020-12-26,0-19,92,0,0,0
2020-12-26,80-89,3750,0,0,0
2020-12-27,70-79,28546,0,0,0
2020-12-27,30-39,6097,0,0,0
2020-12-27,90+,2389,0,0,0
2020-12-27,50-59,10058,0,0,0
2020-12-27,80-89,11873,0,0,0
2020-12-27,60-69,32951,0,0,0
2020-12-27,40-49,8502,0,0,0
2020-12-27,20-29,3590,0,0,0
2020-12-27,0-19,489,0,0,0
2020-12-28,90+,2609,0,0,0
2020-12-28,30-39,9578,0,0,0
2020-12-28,20-29,6676,0,0,0
2020-12-28,70-79,32879,0,0,0
2020-12-28,40-49,13445,0,0,0
2020-12-28,80-89,13676,0,0,0
2020-12-28,50-59,14813,0,0,0
2020-12-28,0-19,1264,0,0,0
2020-12-28,60-69,40013,0,0,0
2020-12-29,90+,4364,0,0,0
2020-12-29,70-79,35904,0,0,0
2020-12-29,60-69,43989,0,0,0
2020-12-29,40-49,16311,0,0,0
2020-12-29,80-89,16455,0,0,0
2020-12-29,20-29,7568,0,0,0
2020-12-29,50-59,18587,0,0,0
2020-12-29,0-19,1441,0,0,0
2020-12-29,30-39,11584,0,0,0
2020-12-30,80-89,15458,0,0,0
2020-12-30,30-39,11720,0,0,0
2020-12-30,60-69,42065,0,0,0
2020-12-30,0-19,1451,0,0,0
2020-12-30,90+,3896,0,0,0
2020-12-30,70-79,32964,0,0,0
2020-12-30,40-49,16215,0,0,0
2020-12-30,20-29,8226,0,0,0
2020-12-30,50-59,21071,0,0,0
2020-12-31,20-29,9677,0,0,0
2020-12-31,40-49,19390,0,0,0
2020-12-31,80-89,14533,0,0,0
2020-12-31,70-79,29639,0,0,0
2020-12-31,50-59,26965,0,0,0
2020-12-31,90+,3767,0,0,0
2020-12-31,60-69,38860,0,0,0
2020-12-31,30-39,13849,0,0,0
2020-12-31,0-19,1797,0,0,0
2021-01-01,70-79,12484,0,0,0
2021-01-01,60-69,17565,0,0,0
2021-01-01,20-29,3332,0,0,0
2021-01-01,80-89,6122,0,0,0
2021-01-01,30-39,5795,0,0,0
2021-01-01,0-19,821,0,0,0
2021-01-01,90+,1478,0,0,0
2021-01-01,40-49,9419,0,0,0
2021-01-01,50-59,14380,0,0,0
2021-01-02,40-49,11804,0,0,0
2021-01-02,70-79,10366,0,0,0
2021-01-02,30-39,5594,0,0,0
2021-01-02,20-29,3344,0,0,0
2021-01-02,50-59,18353,0,0,0
2021-01-02,90+,1629,0,0,0
2021-01-02,80-89,5430,0,0,0
2021-01-02,0-19,857,0,0,0
2021-01-02,60-69,14327,0,0,0
2021-01-03,50-59,28694,0,0,0
2021-01-03,70-79,25697,0,0,0
2021-01-03,0-19,2146,0,0,0
2021-01-03,60-69,35346,0,0,0
2021-01-03,40-49,19345,0,0,0
2021-01-03,30-39,12695,0,0,0
2021-01-03,90+,2964,0,0,0
2021-01-03,20-29,9821,0,0,0
2021-01-03,80-89,12986,0,0,0
2021-01-04,90+,2667,0,0,0
2021-01-04,30-39,14180,0,0,0
2021-01-04,70-79,23450,0,0,0
2021-01-04,0-19,2268,0,0,0
2021-01-04,80-89,12098,0,0,0
2021-01-04,60-69,32218,0,0,0
2021-01-04,50-59,30980,0,0,0
2021-01-04,20-29,11319,0,0,0
2021-01-04,40-49,22949,0,0,0
2021-01-05,40-49,17456,0,0,0
2021-01-05,30-39,11104,0,0,0
2021-01-05,50-59,23791,0,0,0
2021-01-05,90+,2289,0,0,0
2021-01-05,80-89,10422,0,0,0
2021-01-05,20-29,8683,0,0,0
2021-01-05,60-69,28972,0,0,0
2021-01-05,0-19,1833,0,0,0
2021-01-05,70-79,20590,0,0,0
2021-01-06,0-19,1685,0,0,0
2021-01-06,30-39,9132,0,0,0
2021-01-06,60-69,24577,0,0,0
2021-01-06,70-79,16457,0,0,0
2021-01-06,90+,2117,0,0,0
2021-01-06,40-49,13788,0,0,0
2021-01-06,20-29,7930,0,0,0
2021-01-06,80-89,8829,0,0,0
2021-01-06,50-59,18790,0,0,0
2021-01-07,0-19,1957,0,0,0
2021-01-07,20-29,8783,0,0,0
2021-01-07,30-39,11971,0,0,0
2021-01-07,40-49,19163,0,0,0
2021-01-07,70-79,15395,0,0,0
2021-01-07,60-69,23641,0,0,0
2021-01-07,80-89,7979,0,0,0
2021-01-07,90+,1758,0,0,0
2021-01-07,50-59,25354,0,0,0
2021-01-08,80-89,2804,0,0,0
2021-01-08,40-49,16239,0,0,0
2021-01-08,70-79,5812,0,0,0
2021-01-08,0-19,1914,0,0,0
2021-01-08,60-69,9688,0,0,0
2021-01-08,50-59,14595,0,0,0
2021-01-08,30-39,8996,0,0,0
2021-01-08,90+,619,0,0,0
2021-01-08,20-29,5763,0,0,0
2021-01-09,30-39,6912,0,0,0
2021-01-09,80-89,1554,0,0,0
2021-01-09,20-29,3459,0,0,0
2021-01-09,0-19,1020,0,0,0
2021-01-09,60-69,5421,0,0,0
2021-01-09,90+,331,0,0,0
2021-01-09,40-49,12813,0,0,0
2021-01-09,50-59,9765,0,0,0
2021-01-09,70-79,3246,0,0,0
2021-01-10,40-49,9164,1577,0,0
2021-01-10,90+,361,<15,0,0
2021-01-10,50-59,7464,1539,0,0
2021-01-10,0-19,743,15,0,0
2021-01-10,80-89,1755,43,0,0
2021-01-10,70-79,3453,341,0,0
2021-01-10,30-39,5830,971,0,0
2021-01-10,20-29,3273,299,0,0
2021-01-10,60-69,5588,1208,0,0
2021-01-11,90+,203,129,0,0
2021-01-11,50-59,5097,3015,0,0
2021-01-11,70-79,1707,3652,0,0
2021-01-11,80-89,870,868,0,0
2021-01-11,30-39,3365,2162,0,0
2021-01-11,40-49,5268,2974,0,0
2021-01-11,0-19,311,52,0,0
2021-01-11,20-29,1796,821,0,0
2021-01-11,60-69,2519,5582,0,0
2021-01-12,70-79,1786,8939,0,0
2021-01-12,20-29,2444,1303,0,0
2021-01-12,40-49,4494,3953,0,0
2021-01-12,60-69,3158,11296,0,0
2021-01-12,80-89,867,2723,0,0
2021-01-12,50-59,7802,3962,0,0
2021-01-12,90+,182,353,0,0
2021-01-12,30-39,2939,3052,0,0
2021-01-12,0-19,353,75,0,0
2021-01-13,0-19,697,137,0,0
2021-01-13,50-59,23381,5053,0,0
2021-01-13,80-89,1487,4975,0,0
2021-01-13,70-79,3170,16243,0,0
2021-01-13,20-29,3832,1903,0,0
2021-01-13,40-49,8044,4831,0,0
2021-01-13,90+,240,928,0,0
2021-01-13,30-39,5168,3637,0,0
2021-01-13,60-69,6013,19138,0,0
2021-01-14,70-79,2411,20242,0,0
2021-01-14,20-29,5549,1950,0,0
2021-01-14,50-59,23381,5462,0,0
2021-01-14,0-19,1048,167,0,0
2021-01-14,40-49,10368,5161,0,0
2021-01-14,60-69,5126,23983,0,0
2021-01-14,90+,202,1188,0,0
2021-01-14,30-39,7252,3767,0,0
2021-01-14,80-89,1094,6907,0,0
2021-01-15,20-29,3206,726,0,0
2021-01-15,70-79,1208,11488,0,0
2021-01-15,90+,112,691,0,0
2021-01-15,40-49,5937,2007,0,0
2021-01-15,80-89,558,4171,0,0
2021-01-15,30-39,4758,1314,0,0
2021-01-15,50-59,11831,2698,0,0
2021-01-15,60-69,2430,12706,0,0
2021-01-15,0-19,699,118,0,0
2021-01-16,40-49,8270,1287,0,0
2021-01-16,60-69,1688,9601,0,0
2021-01-16,0-19,541,65,0,0
2021-01-16,80-89,357,3009,0,0
2021-01-16,20-29,2134,332,0,0
2021-01-16,50-59,12244,1785,0,0
2021-01-16,30-39,3380,707,0,0
2021-01-16,90+,76,578,0,0
2021-01-16,70-79,753,8640,0,0
2021-01-17,20-29,10440,2579,0,0
2021-01-17,0-19,2687,310,0,0
2021-01-17,70-79,2279,24630,0,0
2021-01-17,90+,190,1782,0,0
2021-01-17,50-59,21997,7406,0,0
2021-01-17,40-49,18417,6394,0,0
2021-01-17,60-69,4495,27165,0,0
2021-01-17,30-39,6837,4605,0,0
2021-01-17,80-89,1058,9661,0,0
2021-01-18,40-49,20631,11530,0,0
2021-01-18,90+,146,2540,0,0
2021-01-18,60-69,3969,36397,0,0
2021-01-18,70-79,1930,30798,0,0
2021-01-18,80-89,889,12571,0,0
2021-01-18,30-39,7344,8185,0,0
2021-01-18,50-59,15904,12833,0,0
2021-01-18,0-19,3840,734,0,0
2021-01-18,20-29,15081,4768,0,0
2021-01-19,90+,202,3848,0,0
2021-01-19,80-89,869,15062,0,0
2021-01-19,0-19,3137,1103,0,0
2021-01-19,30-39,9152,9617,0,0
2021-01-19,20-29,14036,6699,0,0
2021-01-19,70-79,1975,32867,0,0
2021-01-19,60-69,3928,39373,0,0
2021-01-19,40-49,25359,13698,0,0
2021-01-19,50-59,14174,15480,0,0
2021-01-20,50-59,12909,18701,0,0
2021-01-20,70-79,1845,32208,0,0
2021-01-20,60-69,3668,40116,0,0
2021-01-20,30-39,12707,10803,0,0
2021-01-20,90+,144,3383,0,0
2021-01-20,80-89,820,14386,0,0
2021-01-20,40-49,29717,14854,0,0
2021-01-20,20-29,12071,7893,0,0
2021-01-20,0-19,2939,1334,0,0
2021-01-21,80-89,999,15741,0,0
2021-01-21,70-79,2081,32950,0,0
2021-01-21,30-39,13706,13561,0,0
2021-01-21,0-19,2280,1737,0,0
2021-01-21,20-29,9633,9676,0,0
2021-01-21,50-59,11089,25774,0,0
2021-01-21,40-49,26058,18932,0,0
2021-01-21,90+,213,4017,0,0
2021-01-21,60-69,3866,41956,0,0
2021-01-22,70-79,948,13720,0,0
2021-01-22,50-59,5605,12981,0,0
2021-01-22,90+,115,1505,0,0
2021-01-22,20-29,3889,3069,0,0
2021-01-22,80-89,511,6330,0,0
2021-01-22,40-49,15365,8674,0,0
2021-01-22,0-19,1222,722,0,0
2021-01-22,30-39,8133,5556,0,0
2021-01-22,60-69,2086,18530,0,0
2021-01-23,50-59,5963,11321,0,0
2021-01-23,0-19,6653,482,0,0
2021-01-23,40-49,14575,7529,0,0
2021-01-23,20-29,3490,2160,0,0
2021-01-23,90+,106,1493,0,0
2021-01-23,60-69,1584,12438,0,0
2021-01-23,80-89,386,4945,0,0
2021-01-23,30-39,6366,3784,0,0
2021-01-23,70-79,812,9406,0,0
2021-01-24,30-39,10569,11729,0,0
2021-01-24,80-89,1005,12564,0,0
2021-01-24,50-59,8498,27034,0,0
2021-01-24,70-79,1967,24556,0,0
2021-01-24,60-69,3640,33288,0,0
2021-01-24,0-19,12159,1765,0,0
2021-01-24,40-49,19971,18028,0,0
2021-01-24,20-29,11043,8685,0,0
2021-01-24,90+,221,2992,0,0
2021-01-25,80-89,1009,11807,0,0
2021-01-25,70-79,2084,22801,0,0
2021-01-25,20-29,15510,9266,0,0
2021-01-25,90+,251,2575,0,0
2021-01-25,40-49,20491,20128,0,0
2021-01-25,50-59,9573,28243,0,0
2021-01-25,60-69,3880,30383,0,0
2021-01-25,0-19,14699,1864,0,0
2021-01-25,30-39,13376,12385,0,0
2021-01-26,80-89,936,10412,0,0
