data,fascia_eta,no_vax,1_dose,2_dosi_lt_cut,2_dosi_gt_cut,booster,vax,no_vax_frac,1_dose_frac,2_dosi_lt_cut_frac,2_dosi_gt_cut_frac,booster_frac,vax_frac,cut
2021-10-17,80+,162,13,214,76,0,303,0.3484,0.0280,0.4602,0.1634,0.0000,0.6516,180
2021-10-17,60-79,149,9,75,8,0,92,0.6183,0.0373,0.3112,0.0332,0.0000,0.3817,180
2021-10-17,40-59,47,3,8,1,0,12,0.7966,0.0508,0.1356,0.0169,0.0000,0.2034,180
2021-10-17,12-39,3,2,2,0,0,4,0.4286,0.2857,0.2857,0.0000,0.0000,0.5714,180
2021-10-17,totale,361,27,299,85,0,411,0.4676,0.0350,0.3873,0.1101,0.0000,0.5324,180
2021-10-24,80+,159,8,215,124,0,347,0.3142,0.0158,0.4249,0.2451,0.0000,0.6858,180
2021-10-24,60-79,173,9,84,9,0,102,0.6291,0.0327,0.3055,0.0327,0.0000,0.3709,180
2021-10-24,40-59,46,2,9,2,0,13,0.7797,0.0339,0.1525,0.0339,0.0000,0.2203,180
2021-10-24,12-39,6,0,1,0,0,1,0.8571,0.0000,0.1429,0.0000,0.0000,0.1429,180
2021-10-24,totale,384,19,309,135,0,463,0.4534,0.0224,0.3648,0.1594,0.0000,0.5466,180
2021-10-31,80+,200,10,236,172,5,423,0.3210,0.0161,0.3788,0.2761,0.0080,0.6790,180
2021-10-31,60-79,193,5,108,16,0,129,0.5994,0.0155,0.3354,0.0497,0.0000,0.4006,180
2021-10-31,40-59,49,1,14,3,0,18,0.7313,0.0149,0.2090,0.0448,0.0000,0.2687,180
2021-10-31,12-39,7,0,1,0,0,1,0.8750,0.0000,0.1250,0.0000,0.0000,0.1250,180
2021-10-31,totale,449,16,359,191,5,571,0.4402,0.0157,0.3520,0.1873,0.0049,0.5598,180
2021-11-07,80+,232,13,100,388,10,511,0.3122,0.0175,0.1346,0.5222,0.0135,0.6878,150
2021-11-07,60-79,221,6,84,85,1,176,0.5567,0.0151,0.2116,0.2141,0.0025,0.4433,150
2021-11-07,40-59,54,3,13,8,0,24,0.6923,0.0385,0.1667,0.1026,0.0000,0.3077,150
2021-11-07,12-39,8,0,0,1,0,1,0.8889,0.0000,0.0000,0.1111,0.0000,0.1111,150
2021-11-07,totale,515,22,197,482,11,712,0.4197,0.0179,0.1606,0.3928,0.0090,0.5803,150
2021-11-14,80+,291,16,85,476,13,590,0.3303,0.0182,0.0965,0.5403,0.0148,0.6697,150
2021-11-14,60-79,263,10,90,121,4,225,0.5389,0.0205,0.1844,0.2480,0.0082,0.4611,150
2021-11-14,40-59,59,3,11,6,0,20,0.7468,0.0380,0.1392,0.0759,0.0000,0.2532,150
2021-11-14,12-39,7,0,0,1,0,1,0.8750,0.0000,0.0000,0.1250,0.0000,0.1250,150
2021-11-14,totale,620,29,186,604,17,836,0.4258,0.0199,0.1277,0.4148,0.0117,0.5742,150
2021-11-21,80+,345,23,89,582,20,714,0.3258,0.0217,0.0840,0.5496,0.0189,0.6742,150
2021-11-21,60-79,315,16,115,154,8,293,0.5181,0.0263,0.1891,0.2533,0.0132,0.4819,150
2021-11-21,40-59,56,3,13,8,1,25,0.6914,0.0370,0.1605,0.0988,0.0123,0.3086,150
2021-11-21,12-39,6,0,0,1,0,1,0.8571,0.0000,0.0000,0.1429,0.0000,0.1429,150
2021-11-21,totale,722,42,217,745,29,1033,0.4114,0.0239,0.1236,0.4245,0.0165,0.5886,150
2021-11-28,80+,399,29,82,631,29,771,0.3410,0.0248,0.0701,0.5393,0.0248,0.6590,150
2021-11-28,60-79,362,22,126,196,14,358,0.5028,0.0306,0.1750,0.2722,0.0194,0.4972,150
2021-11-28,40-59,70,3,13,10,2,28,0.7143,0.0306,0.1327,0.1020,0.0204,0.2857,150
2021-11-28,12-39,8,0,1,1,0,2,0.8000,0.0000,0.1000,0.1000,0.0000,0.2000,150
2021-11-28,totale,839,54,222,838,45,1159,0.4199,0.0270,0.1111,0.4194,0.0225,0.5801,150
2021-12-05,80+,481,44,38,757,40,879,0.3537,0.0324,0.0279,0.5566,0.0294,0.6463,120
2021-12-05,60-79,430,28,48,325,20,421,0.5053,0.0329,0.0564,0.3819,0.0235,0.4947,120
2021-12-05,40-59,76,3,5,25,2,35,0.6847,0.0270,0.0450,0.2252,0.0180,0.3153,120
2021-12-05,12-39,7,0,1,1,0,2,0.7778,0.0000,0.1111,0.1111,0.0000,0.2222,120
2021-12-05,totale,994,75,92,1108,62,1337,0.4264,0.0322,0.0395,0.4753,0.0266,0.5736,120
2021-12-12,80+,577,57,45,869,56,1027,0.3597,0.0355,0.0281,0.5418,0.0349,0.6403,120
2021-12-12,60-79,497,28,57,396,25,506,0.4955,0.0279,0.0568,0.3948,0.0249,0.5045,120
2021-12-12,40-59,88,4,4,32,3,43,0.6718,0.0305,0.0305,0.2443,0.0229,0.3282,120
2021-12-12,12-39,8,0,1,1,0,2,0.8000,0.0000,0.1000,0.1000,0.0000,0.2000,120
2021-12-12,totale,1170,89,107,1298,84,1578,0.4258,0.0324,0.0389,0.4723,0.0306,0.5742,120
