data,fascia_eta,no_vax,1_dose,2_dosi_lt_cut,2_dosi_gt_cut,booster,vax,no_vax_frac,1_dose_frac,2_dosi_lt_cut_frac,2_dosi_gt_cut_frac,booster_frac,vax_frac,cut
2021-10-24,12-39,30,1,0,0,0,1,0.9677,0.0323,0.0000,0.0000,0.0000,0.0323,180
2021-10-24,40-59,106,2,16,1,0,19,0.8480,0.0160,0.1280,0.0080,0.0000,0.1520,180
2021-10-24,60-79,208,6,92,7,0,105,0.6645,0.0192,0.2939,0.0224,0.0000,0.3355,180
2021-10-24,80+,26,0,40,21,1,62,0.2955,0.0000,0.4545,0.2386,0.0114,0.7045,180
2021-10-24,totale,370,9,148,29,1,187,0.6643,0.0162,0.2657,0.0521,0.0018,0.3357,180
2021-10-31,12-39,24,1,0,0,0,1,0.9600,0.0400,0.0000,0.0000,0.0000,0.0400,180
2021-10-31,40-59,126,4,18,1,0,23,0.8456,0.0268,0.1208,0.0067,0.0000,0.1544,180
2021-10-31,60-79,244,8,117,10,1,136,0.6421,0.0211,0.3079,0.0263,0.0026,0.3579,180
2021-10-31,80+,30,1,42,34,1,78,0.2778,0.0093,0.3889,0.3148,0.0093,0.7222,180
2021-10-31,totale,424,14,177,45,2,238,0.6405,0.0211,0.2674,0.0680,0.0030,0.3595,180
2021-11-07,12-39,23,0,0,0,0,0,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,180
2021-11-07,40-59,153,3,19,3,1,26,0.8547,0.0168,0.1061,0.0168,0.0056,0.1453,180
2021-11-07,60-79,298,10,151,20,1,182,0.6208,0.0208,0.3146,0.0417,0.0021,0.3792,180
2021-11-07,80+,35,1,39,35,1,76,0.3153,0.0090,0.3514,0.3153,0.0090,0.6847,180
2021-11-07,totale,509,14,209,58,3,284,0.6419,0.0177,0.2636,0.0731,0.0038,0.3581,180
2021-11-14,12-39,24,0,0,0,0,0,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,150
2021-11-14,40-59,165,3,12,10,1,26,0.8639,0.0157,0.0628,0.0524,0.0052,0.1361,150
2021-11-14,60-79,318,12,104,75,1,192,0.6235,0.0235,0.2039,0.1471,0.0020,0.3765,150
